file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarkers/bio_ptch1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1034,339,56,,
knowledge_base/hosted/content/biomarkers/bio_ptch1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,521,174,49,,
knowledge_base/hosted/content/biomarkers/bio_pten.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,595,685,56,,
knowledge_base/hosted/content/biomarkers/bio_pten_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,407,80,50,,
knowledge_base/hosted/content/biomarkers/bio_ptpn11.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1424,347,56,,
knowledge_base/hosted/content/biomarkers/bio_rad51c_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,334,80,50,,
knowledge_base/hosted/content/biomarkers/bio_rad51d_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,255,81,50,,
knowledge_base/hosted/content/biomarkers/bio_rb1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1348,817,56,,
knowledge_base/hosted/content/biomarkers/bio_rb1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,435,191,49,,
knowledge_base/hosted/content/biomarkers/bio_ret.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,518,524,56,,
knowledge_base/hosted/content/biomarkers/bio_ret_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,372,128,50,,
knowledge_base/hosted/content/biomarkers/bio_ret_m918t.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,448,531,56,,
knowledge_base/hosted/content/biomarkers/bio_ret_men2_classification.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_surveillance_2026_05_18,1,1411,428,49,,
knowledge_base/hosted/content/biomarkers/bio_rhoa_g17v.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,379,418,56,,
knowledge_base/hosted/content/biomarkers/bio_ros1_fusion.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,44,63,56,,
knowledge_base/hosted/content/biomarkers/bio_ros1_g2032r.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,624,668,56,,
knowledge_base/hosted/content/biomarkers/bio_sdhb_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v03_germline,1,101,52,50,,
knowledge_base/hosted/content/biomarkers/bio_sdhc_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,359,91,50,,
knowledge_base/hosted/content/biomarkers/bio_sdhd_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,443,105,50,,
knowledge_base/hosted/content/biomarkers/bio_sezary_count.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,387,473,56,,
knowledge_base/hosted/content/biomarkers/bio_sf3b1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,554,655,56,,
knowledge_base/hosted/content/biomarkers/bio_smarcb1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,948,895,56,,
knowledge_base/hosted/content/biomarkers/bio_smo.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,923,347,56,,
knowledge_base/hosted/content/biomarkers/bio_stk11_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v03_germline,1,150,48,50,,
knowledge_base/hosted/content/biomarkers/bio_stool_dna_multitarget_crc.yaml,biomarkers,notes,notes_ua,missing,,,,372,0,49,,
knowledge_base/hosted/content/biomarkers/bio_sufu_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,464,176,49,,
knowledge_base/hosted/content/biomarkers/bio_t11_14_igh_ccnd1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,259,269,56,,
knowledge_base/hosted/content/biomarkers/bio_tert.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1500,901,56,,
